food_name,image_url
Arroz integral cozido,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx9VMwlighPoZ9QNBQgsgCyfXJ-CMwaHLEYZuxk-tBrzxYMZD6BWyMRXxUXw&s
Arroz integral cru,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDkFIGBrhaDa3dmdasbd3HFA7lmbtkptL7pZg3FWXkyuPc6cz8VGWVwfpaW8Y&s
Arroz tipo 1 cozido,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdxkQSDksGsdtEVYqhb7PPBzdXEY5aA5Pnx74ud9MtYS9L4lfW_Z2-kSoWrw&s
Arroz tipo 1 cru,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaGBkaLTKml1ICIgWJOJFCLHSUIM-Z5eyR-41RtGsT8fof1maKAh9kTOfnKA&s
Arroz tipo 2 cozido,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_WvkeGc0I_hloZwqjxqggJQ2Mi98C9Xt1tQhf2SrcBdC-bqVIVG6lXNbsaw&s
Arroz tipo 2 cru,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaGBkaLTKml1ICIgWJOJFCLHSUIM-Z5eyR-41RtGsT8fof1maKAh9kTOfnKA&s
Aveia flocos crua,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm6Sp_jEUndrBeyx1QiFzLBZwA4M1esnSt8R2A6Jab5rHFxrInGllrzfxohDY&s
Biscoito doce maisena,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR57PGrP2M3DdCucfWeQ9Jdxm8QToBk51aueW6P0Tf8P6sj4dzfuEafn_esBw&s
Biscoito doce recheado com chocolate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6WHlR2YFxABX60BZqepYF3AuPpuIDsPPIeRuSmp5c73KxAe_O0pZFIL2ZLGk&s
Biscoito doce recheado com morango,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8CfW5RlH-wa5amZMwUaTDzkqfXLwhdjGpiEUEkKGqym7ecbRKdseegDF2Fo4&s
Biscoito doce wafer recheado de chocolate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnbvCWKigmghgVRKdnG8m79CoUPw81FMJL7YqOZcVQmms8locjBVkg_aaEeQ&s
Biscoito doce wafer recheado de morango,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGr48OcL_QncERvmwCa8BFYPKG490elROJn7X4kN5ODS-zJ7EI8E2zOzBhV-c&s
Biscoito salgado cream cracker,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR41yzsXj-Fh-QRdQsPe8l6BnNbkoiNK5kaJVmU2rXtF6h5vbSkdugdt3tWrg&s
Bolo mistura para,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTek1LP857TvwYiLNzD9KmM48Rl9UJPlEWqmJN7oQMU6Cy6qo3GKgJvAwkPA&s
Bolo pronto aipim,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT37mV2D1lbozQPRXACVddB77ZuGfGw8Q-FqqJbk3EQ-1ay75vUFdIXjOTHlzk&s
Bolo pronto chocolate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR42hwrG9f7WORXcH3qO6s7PzVLNlQewpnZHX-MzHwpgJ-JYWrIuXlN_XlyeA&s
Bolo pronto coco,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD_IaCBzc9HCyLfqG0qNuFXtIqi6wvrjARzjWrujkGaO3y2LisVOYUmEyMtCI&s
Bolo pronto milho,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS1rZ2GLovok6koqgAHEZxX4VjG9D4CmKfYXFwR-mSiVjqz22osYXHDxQlxQ&s
Canjica branca crua,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0Zzah2LFvdlIiZrZruiN4NznioLqmhC1TPK4Nq7jzeTc8nnqdGZRRqAriitQ&s
Canjica com leite integral,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRI0U6DA0ndefWn4GfUIUFbI4bt-X8Gfzax51GfrYHwN57zVOdR8Z0IP_UM4A&s
Cereais milho flocos com sal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyK0vBDNMdVntLrvyPh4KLADRS30AejHhUr7hzdERErpeLA5803V8thgxsmQ&s
Cereais milho flocos sem sal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzIU4BF5Q9InvYrYCiu3zvVuTLH6i2-Sn7e47GGEcQYihmG_afLIYEaW2OeA&s
